request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,03-08-2025,none,Pay IDR 15656000 today. The 90-day forecast keeps at least IDR 24768300 available.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,05-07-2026,none,Pay ZAR 6670 today. The 90-day forecast keeps at least ZAR 20500 available.
request_28,265.81,affordable_later,wait,2024-07-16:1302.4,16-07-2024,none,Pay EUR 1302.4 in full on 2024-07-16. Paying sooner would put the EUR 1100 minimum at risk.
request_29,21980.64,not_affordable,not_recommended,none,,none,Do not proceed by 2025-11-23. No eligible payment plan keeps the ZAR 28300 minimum protected through the 90-day forecast.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,06-04-2026,none,Use the selected installment schedule to complete the request by 2026-06-06. The forecast keeps the USD 900 minimum protected.
request_31,2637592.52,affordable_later,wait,2024-09-16:18164000,16-09-2024,none,Pay IDR 18164000 in full on 2024-09-16. Paying sooner would put the IDR 16588900 minimum at risk.
request_32,0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-04-15. No eligible payment plan keeps the ZAR 35700 minimum protected through the 90-day forecast.
request_33,29880.53,not_affordable,not_recommended,none,19-03-2026,none,Do not proceed by 2026-03-15. No eligible payment plan keeps the INR 102100 minimum protected through the 90-day forecast.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,04-12-2024,none,Pay INR 129400 today. The 90-day forecast keeps at least INR 138500 available.
request_35,36254.03,not_affordable,not_recommended,none,17-01-2026,none,Do not proceed by 2026-01-15. No eligible payment plan keeps the INR 106400 minimum protected through the 90-day forecast.
request_36,639.6,affordable_later,wait,2026-07-17:3954,17-07-2026,none,Pay USD 3954 in full on 2026-07-17. Paying sooner would put the USD 2400 minimum at risk.
request_37,0,not_affordable,not_recommended,none,,none,Do not proceed by 2024-05-15. No eligible payment plan keeps the IDR 17056200 minimum protected through the 90-day forecast.
request_38,204.68,affordable_later,wait,2025-09-16:971.3,16-09-2025,none,Pay EUR 971.3 in full on 2025-09-16. Paying sooner would put the EUR 400 minimum at risk.
request_39,76150.01,affordable_later,wait,2026-05-17:208600,17-05-2026,none,Pay INR 208600 in full on 2026-05-17. Paying sooner would put the INR 213400 minimum at risk.
request_40,0,not_affordable,not_recommended,none,,none,Do not proceed by 2024-08-15. No eligible payment plan keeps the EUR 1500 minimum protected through the 90-day forecast.
